"lon1","lat1","lon2","lat2"
-3.65309111063032,40.4133749925532,-3.65698009174346,40.4092308778079
-3.65859107398361,40.4070218219976,-3.65882407124988,40.4066948141948
-3.63825061768095,40.4001709378178,-3.6368796148236,40.4011299702969
-3.63946660853673,40.3987078992391,-3.63919960560775,40.3987539033812
-3.64094858897266,40.3964968448137,-3.63946660853673,40.3987078992391
-3.63991328464029,40.4328874744912,-3.63930225889621,40.4321164690581
-3.64435129868938,40.4300393755799,-3.64374229350124,40.4302913870058
-3.66178596715439,40.3989776493193,-3.66154396660382,40.3991296543304
-3.66860510303532,40.4003755949544,-3.66947612055762,40.4006025891365
-3.6702170984769,40.3988415504239,-3.67004510549699,40.3993845613145
-3.63569610662054,40.4272184263324,-3.64036913804457,40.4250573362263
-3.66925476069074,40.3823362816705,-3.66935876147212,40.3822832797656
-3.66621476855013,40.3851933649307,-3.66627876790077,40.3851293629467
-3.66425878155068,40.387485425685,-3.66455177966762,40.3871574175224
-3.65999936293571,40.3694811698343,-3.65907238340177,40.3712572101915
-3.65582240193506,40.3748783091006,-3.65694342800528,40.375260302201
-3.66783764451602,40.3775412163526,-3.67075574249755,40.3801782283039
-3.67113174159255,40.3798482181201,-3.67110874524207,40.3800302217221
-3.65985535998235,40.3694341707995,-3.65916137538233,40.3708092015403
-3.66647207023061,40.4004316202831,-3.66608706098668,40.4002656215366
-3.65950780100003,40.3923175618545,-3.66057982921304,40.3928835599228
-3.65740387821154,40.3979726823437,-3.65843290187953,40.3983226763928
-3.66939706284412,40.3976715403959,-3.66899705295064,40.3974915417404
-3.66738696050556,40.394089502597,-3.66792197563711,40.3944015015774
-3.66987101551186,40.3948964871629,-3.67023502148051,40.3949114840358
-3.66988708936619,40.3986655509124,-3.66937409496304,40.3993555687081
-3.66988708936619,40.3986655509124,-3.6702170984769,40.3988415504239
-3.66609296627448,40.3954275392248,-3.66533297010507,40.3962645625585
-3.66533297010507,40.3962645625585,-3.6652609699058,40.3962905641362
-3.66882095507802,40.3926214608768,-3.66846395682714,40.3930004710442
-3.66170405170907,40.4033357239837,-3.66085403479548,40.4031677303658
-3.64550014975529,40.3702913489985,-3.64846723225902,40.372140345866
-3.64572815064359,40.3701933444219,-3.64898424127035,40.372196341161
-3.64863623754517,40.3722573459526,-3.64855223796562,40.3723613487404
-3.63032904163271,40.3770586366825,-3.62696399127051,40.3772536787271
